хайпере	hyperliquid	ru_form	slang	ambiguous	support=kinetiq|тим|l2|score
тон	ton	ru_form	also "tone"	ambiguous	reject=(задать|смягч\w*|сменить|повыс\w*)\s+тон\b; support=\$|\d|блокчейн|сет[ьиеяю]|ликвид|купи|покупа|продал
тона	ton	ru_form	also "tone"	ambiguous	support=\$|\d|блокчейн|сет[ьиеяю]|ликвид|купи
тончик	ton	ru_form	slang	confirmed
опенси	opensea	ru_form	corpus	confirmed
опенсии	opensea	ru_form	corpus	confirmed
робинхуд	robinhood	ru_form	corpus	confirmed
робинхуде	robinhood	ru_form	corpus	confirmed
зкеш	zcash	ru_form	corpus	confirmed
зкеше	zcash	ru_form	corpus	confirmed
юсдт	usdt	ru_form	corpus: https://t.me/Slavik_investor_updates/6912?comment=138020	confirmed
ии	ai	ru_form	Russian abbreviation of AI	confirmed
трампа	трамп	ru_form	corpus	confirmed
трампу	трамп	ru_form	corpus	confirmed
трампом	трамп	ru_form	corpus	confirmed
трампе	трамп	ru_form	corpus	confirmed
ethereum	eth	asset_symbol	network and its native asset	confirmed
bitcoin	btc	asset_symbol	network and its native asset	confirmed
solana	sol	asset_symbol	network and its native asset	confirmed
zcash	zec	asset_symbol	network and its native asset	confirmed
arbitrum	arb	asset_symbol	network and its governance token	confirmed
uniswap	uni	asset_symbol	protocol and its token	confirmed
hyperliquid	hype	asset_symbol	exchange and its token	confirmed
ceo	-	not_entity_head	role: "CEO Nvidia" names Nvidia, not a CEO entity	confirmed
cfo	-	not_entity_head	role	confirmed
cto	-	not_entity_head	role	confirmed
coo	-	not_entity_head	role	confirmed
founder	-	not_entity_head	role	confirmed
president	-	not_entity_head	role	confirmed
chairman	-	not_entity_head	role	confirmed
