# Labelling sheet, contract v3. Rules: docs/research/pulse_label_instructions.md. No model output here; `mentions` comes from the entity detector and may be wrong.
# post https://t.me/rawa_imagination/21055 [mentions: ETH (confirmed)]: #крипто $ETH Зефир Витальевич делает пробой вверх после двухмесячной консолидации на колоссальном объеме. Это заявка на первый этап стартового альтсезона, если 2500 будет удержан. #не_ИИР
# post https://t.me/don_invest/5296 [mentions: none]: У кого хорошая видеокарта, пробуйте замайнить кота: https://hashcats.fun/mine Продажи от 400$ на opensea https://opensea.io/collection/hash-cats upd. нужно было заранее иметь 5-10 серверов с 5090 картами, тогда б было интересно. поищу себе недорогие варианты под такие случаи на будущее.
thread	comment_id	link	reply_to	chain	author	text	mentions	relevance	aspect	kind	summary	quote	context_ids	borderline	note
21055	342508	https://t.me/rawa_imagination/21055?comment=342508	342507	[342507] Жду не дождусь, когда ETH перевалит за отметку в $5 тысяч, чтобы я мог рекомендовать его к покупке своим друзьям и знакомым. ← [post]	u2	О, Даня смешно пошутил									
21055	342518	https://t.me/rawa_imagination/21055?comment=342518	342516	[342516] Так посмотри порнуху сначала ← [342514] Ну тёлочки хоть стонут классно, и трусы видно, а мужской - какой смысл?	u4	Мне Кристина не разрешает									
21055	342486	https://t.me/rawa_imagination/21055?comment=342486	342485	[342485] а вот это возможно, но может быть не на этом этапе, а года через 2, после битка по 300к+ ← [342484] ладно, эфир по 10кило меня бы тоже устроил	u2	да блин, а говорили достаточно, чтобы биток не падал )									
21055	342474	https://t.me/rawa_imagination/21055?comment=342474	342473	[342473] Объявляйте альтсезон! ← [342470] достаточно просто стоять на месте	u4	Рано									
21055	342558	https://t.me/rawa_imagination/21055?comment=342558	342557	[342557] судя по всему хер это, а не пробой вверх. забор ликвидности это. но возможно здесь вайкоффа нарисуют. если это оно, то первым был забор ликвиды вверх, значит формация ростовая, а не распределение ← [post]	u9	предположительно мы здесь [media]									
5296	379893	https://t.me/don_invest/5296?comment=379893	post	[post]	u17	где глянуть?									
5296	379796	https://t.me/don_invest/5296?comment=379796	missing:379793	[missing:379793]	u5	0.148 eth	eth (confirmed)								
5296	379909	https://t.me/don_invest/5296?comment=379909	379908	[379908] Короче заминтил, это метамаск мозг делал, осталось продать в профит… ← [post]	u20	Да это наверное будет самое сложное, этих нфт там уже 5732 штуки, цена самой дёшевой была около 0.16 eth, сейчас опустилась к 0.14 уже	eth (confirmed)								
5296	379897	https://t.me/don_invest/5296?comment=379897	post	[post]	u20	Дак там же написано цена минта 0,16 eth примерно, 55$ маловато будет.	eth (confirmed)								
5296	379912	https://t.me/don_invest/5296?comment=379912	post	[post]	u20	Да они сейчас любой картой майнится быстро. Цена за минт от 0.16+ начинается уже. Всё не выгодно уже. Обманули как обычно😂									
5296	379939	https://t.me/don_invest/5296?comment=379939	379938	[379938] потому что 0 конкуренции в сети ← [379937] Запустил на 1070 Ti, почти сразу дало сминтить, но у меня бабок нет) ← [post]	u24	Там уже и цена на минт такая же как флор на опенси									
5296	379890	https://t.me/don_invest/5296?comment=379890	post	[post]	u17	Чет не врубаюсь. Вроде бы намайнил, пишет: Not sent Not enough ether for the price and the gas	ether (confirmed)								
5296	379891	https://t.me/don_invest/5296?comment=379891	post	[post]	u17	на кошеле 7 баксов в эфире сети robinhood	эфире (ambiguous)								
5296	379895	https://t.me/don_invest/5296?comment=379895	379890	[379890] Чет не врубаюсь. Вроде бы намайнил, пишет: Not sent Not enough ether for the price and the gas ← [post]	u19	Такой же вопрос, 55$ в сети тоже не хватило									
5296	379892	https://t.me/don_invest/5296?comment=379892	379891	[379891] на кошеле 7 баксов в эфире сети robinhood ← [post]	u18	Так ты глянь цену минта									
5296	379899	https://t.me/don_invest/5296?comment=379899	379898	[379898] Что только не придумают, чтоб развести народ на бабки😂 ← [post]	u19	Да уже закинул 500 все равно не получается заминтить, ошибка при переводе…									
5296	379752	https://t.me/don_invest/5296?comment=379752	379748	[379748] rx 7800xt 100% 67 градусов ← [379745] а реально нагрузка идет какая то? я включил, вроде ниче) ← [post]	u1	 [media]									
5296	379768	https://t.me/don_invest/5296?comment=379768	post	[post]	u9	оно жрет только визуал даже память не жрет [media]									
5296	379847	https://t.me/don_invest/5296?comment=379847	post	[post]	u14	как решить вопрос? [media]									
5296	379820	https://t.me/don_invest/5296?comment=379820	missing:379819	[missing:379819]	u1	копейки									
