# Labelling sheet for https://t.me/don_invest/5296. Rules: pulse_label_instructions_v2.md (contract v2). No model output here.
# post: У кого хорошая видеокарта, пробуйте замайнить кота: https://hashcats.fun/mine Продажи от 400$ на opensea https://opensea.io/collection/hash-cats upd. нужно было заранее иметь 5-10 серверов с 5090 картами, тогда б было интересно. поищу себе недорогие варианты под такие случаи на будущее.
comment_id	link	reply_to	author	text	topic_relation	mention	subject	evidence_ids	aspect	claim	stance	borderline	note
379764	https://t.me/don_invest/5296?comment=379764	post	u8	идея кстати интересная									
379766	https://t.me/don_invest/5296?comment=379766	post	u5	 [media]									
379767	https://t.me/don_invest/5296?comment=379767	post	u5	типа таких майнят									
379768	https://t.me/don_invest/5296?comment=379768	post	u9	оно жрет только визуал даже память не жрет [media]									
379769	https://t.me/don_invest/5296?comment=379769	post	u9	с таким шансом пусть идут нахуй) [media]									
379770	https://t.me/don_invest/5296?comment=379770	379769	u5	что за карта?									
379774	https://t.me/don_invest/5296?comment=379774	379769	u2	Без мата пожалуйста									
379775	https://t.me/don_invest/5296?comment=379775	379767	u1	надо на будущее себе подготовить тоже такие сервера, чтоб в пару кликов поднимать.. нужно найти недорогие варианты									
379776	https://t.me/don_invest/5296?comment=379776	379774	u9	а как в крипте без мата лол) ты бы еще такое на заводе производстве заявил ) со смеху все бы упали									
379777	https://t.me/don_invest/5296?comment=379777	379776	u2	Ну мы не на заводе вроде									
379778	https://t.me/don_invest/5296?comment=379778	379777	u5	 [media]									
379779	https://t.me/don_invest/5296?comment=379779	379777	u9	крипта=завод, это мне кажется тебе любой мем об крипте докажет									
379782	https://t.me/don_invest/5296?comment=379782	379775	u10	5090 не дешево будет, главное почасовку брать а не фиксу за месяц, тогда нормально и выгодно может получиться									
379792	https://t.me/don_invest/5296?comment=379792	missing:379791	u1	пробуй, смотри нагрузку									
379794	https://t.me/don_invest/5296?comment=379794	missing:379791	u5	типа если 80-90 градусов висит, то себе дороже									
379796	https://t.me/don_invest/5296?comment=379796	missing:379793	u5	0.148 eth									
379797	https://t.me/don_invest/5296?comment=379797	missing:379793	u1	https://opensea.io/collection/hash-cats [media]									
379798	https://t.me/don_invest/5296?comment=379798	missing:379795	u5	ну если 10+ часов на минт будет держать то пасту бы точно поменять									
379800	https://t.me/don_invest/5296?comment=379800	post	u11	Нужен контакт сервисного инженера из какого-нибудь дата центра, договориться несколько серваков запустить на это дело тихонько ночью :)									
379802	https://t.me/don_invest/5296?comment=379802	missing:379801	u1	ну так и надо было в идеале									
379804	https://t.me/don_invest/5296?comment=379804	missing:379803	u1	конкуренция всё больше									
379807	https://t.me/don_invest/5296?comment=379807	missing:379805	u1	ну да, рандом									
379817	https://t.me/don_invest/5296?comment=379817	missing:379740	u12	?									
379820	https://t.me/don_invest/5296?comment=379820	missing:379819	u1	копейки									
379823	https://t.me/don_invest/5296?comment=379823	missing:379822	u1	зайди и все поймешь									
379824	https://t.me/don_invest/5296?comment=379824	missing:379822	u5	да									
379846	https://t.me/don_invest/5296?comment=379846	missing:379743	u13	❗❗❗Scam ,машенники									
379847	https://t.me/don_invest/5296?comment=379847	post	u14	как решить вопрос? [media]									
379848	https://t.me/don_invest/5296?comment=379848	379847	u15	Другой браузер									
379849	https://t.me/don_invest/5296?comment=379849	379846	u6	Спасибо. Удалил. Дон вот как раз по тому что мы говорили днем. Тип поменял своё сообщение на скам. Также он мог поменять на порно.									
379851	https://t.me/don_invest/5296?comment=379851	379849	u2	Ну тут наверно гейт нужен, чтобы ловил такое, а то ночью или под утро никто не увидит									
379852	https://t.me/don_invest/5296?comment=379852	379851	u6	Ага.									
379878	https://t.me/don_invest/5296?comment=379878	379849	u13	Я спомнил что когда то писал что мое сообщение било удалено из етого чата и писал 18+ как помню и ешо один человек писал что и его сообшение удалено кака помню по той же причине,хотьел спросить почему так получилос и забил но думал что что то связано с скамерами,если найду ето сообшение то отправлю									
379879	https://t.me/don_invest/5296?comment=379879	post	u16	Всем салам 👋🏻 У кого-нибудь получилось сминтить? Я так понимаю сложность растет в такой прогрессии что rtx 5070 в лучшем случае за месяц сминтит в данный момент.									
379880	https://t.me/don_invest/5296?comment=379880	379879	u1	привет, вон выше инфа.. по 5-30 видях уже ставят, и там рандом же, может выпасть и за 1 час как я понял но нужны мощности, конкуреция									
379890	https://t.me/don_invest/5296?comment=379890	post	u17	Чет не врубаюсь. Вроде бы намайнил, пишет: Not sent Not enough ether for the price and the gas									
379891	https://t.me/don_invest/5296?comment=379891	post	u17	на кошеле 7 баксов в эфире сети robinhood									
379892	https://t.me/don_invest/5296?comment=379892	379891	u18	Так ты глянь цену минта									
379893	https://t.me/don_invest/5296?comment=379893	post	u17	где глянуть?									
379895	https://t.me/don_invest/5296?comment=379895	379890	u19	Такой же вопрос, 55$ в сети тоже не хватило									
379896	https://t.me/don_invest/5296?comment=379896	post	u19	Ошибка таже									
379897	https://t.me/don_invest/5296?comment=379897	post	u20	Дак там же написано цена минта 0,16 eth примерно, 55$ маловато будет.									
379898	https://t.me/don_invest/5296?comment=379898	post	u20	Что только не придумают, чтоб развести народ на бабки😂									
379899	https://t.me/don_invest/5296?comment=379899	379898	u19	Да уже закинул 500 все равно не получается заминтить, ошибка при переводе…									
379904	https://t.me/don_invest/5296?comment=379904	post	u20	Кошелёк законектил с сайтом и если на сам кошелёк нажать когда сконектил, там есть профиль. Можно посмотреть сколько отображается на балансе.									
379905	https://t.me/don_invest/5296?comment=379905	post	u20	Но лучше не связываться, всё равно обманут😁									
379908	https://t.me/don_invest/5296?comment=379908	post	u19	Короче заминтил, это метамаск мозг делал, осталось продать в профит…									
379909	https://t.me/don_invest/5296?comment=379909	379908	u20	Да это наверное будет самое сложное, этих нфт там уже 5732 штуки, цена самой дёшевой была около 0.16 eth, сейчас опустилась к 0.14 уже									
379911	https://t.me/don_invest/5296?comment=379911	379908	u21	Сколько за минт отдал? На какой карте замайнил?									
379912	https://t.me/don_invest/5296?comment=379912	post	u20	Да они сейчас любой картой майнится быстро. Цена за минт от 0.16+ начинается уже. Всё не выгодно уже. Обманули как обычно😂									
379913	https://t.me/don_invest/5296?comment=379913	379911	u19	3070 да я из уже штук 10 замайнил не мог просто метамаск отработать									
379914	https://t.me/don_invest/5296?comment=379914	379912	u19	Да, так и есть походу. Но вроде можно сжечь за 1000 их крипты бля пздц									
379918	https://t.me/don_invest/5296?comment=379918	379913	u16	Капец как так? У меня 5070 ни одного минта до сих пор. Или ты с самого начала прям майнишь?									
379919	https://t.me/don_invest/5296?comment=379919	379918	u21	Уже не надо, в первые сутки норм профит был									
379920	https://t.me/don_invest/5296?comment=379920	379918	u19	Да утром запустил									
379927	https://t.me/don_invest/5296?comment=379927	379914	u22	кто тебе мешал посмотреть стоимость флора и стоимость минта ?)									
379928	https://t.me/don_invest/5296?comment=379928	379927	u19	Вроде никто, хотелось победить сам процесс									
379929	https://t.me/don_invest/5296?comment=379929	379914	u7	Печально конечно									
379931	https://t.me/don_invest/5296?comment=379931	379914	u15	Это скок вышло									
379933	https://t.me/don_invest/5296?comment=379933	post	u23	У меня на 3050 показало 6 дней, закрыл нафиг))									
379937	https://t.me/don_invest/5296?comment=379937	post	u24	Запустил на 1070 Ti, почти сразу дало сминтить, но у меня бабок нет)									
379938	https://t.me/don_invest/5296?comment=379938	379937	u22	потому что 0 конкуренции в сети									
379939	https://t.me/don_invest/5296?comment=379939	379938	u24	Там уже и цена на минт такая же как флор на опенси									
379940	https://t.me/don_invest/5296?comment=379940	379939	u22	выше									
379999	https://t.me/don_invest/5296?comment=379999	post	u25	Гайс, кто трафик лить умеет? В лс									
